Ano;Unidade Geográfica;Localização;Dependência Administrativa;Total Aprovação no Ens. Fundamental;Total Aprovação Médio;Total  Aprovação Médio Não-Seriado;Total Reprovação no Ens. Fundamental;Total Reprovação no Ens. Médio;Total  Reprovação Médio Não-Seriado;Total Abandono no Ens. Fundamental;Total Abandono Médio;Total  Abandono Médio Não-Seriado;;;;;;;;;
2015;Acre;Urbana;Federal;78,1;76,3;--;21,6;15,7;--;0,3;8,0;--;;;;;;;;;
2015;Acre;Urbana;Estadual;93,0;77,3;--;5,1;12,2;--;1,9;10,5;--;;;;;;;;;
2015;Acre;Urbana;Municipal;92,1;--;--;6,8;--;--;1,1;--;--;;;;;;;;;
2015;Acre;Urbana;Particular;98,7;96,7;--;1,2;3,2;--;0,1;0,1;--;;;;;;;;;
2015;Acre;Rural;Pública;84,8;86,1;90,0;10,1;5,5;0,0;5,1;8,4;10,0;;;;;;;;;
2015;Acre;Rural;Estadual;84,2;86,1;90,0;9,7;5,5;0,0;6,1;8,4;10,0;;;;;;;;;
2015;Acre;Rural;Municipal;85,3;--;--;10,5;--;--;4,2;--;--;;;;;;;;;
2015;Amazonas;Urbana;Pública;90,2;82,2;--;6,4;5,9;--;3,4;11,9;--;;;;;;;;;
2015;Amazonas;Urbana;Federal;91,3;83,0;--;8,7;15,1;--;0,0;1,9;--;;;;;;;;;
2015;Amazonas;Urbana;Estadual;91,3;82,1;--;4,9;5,7;--;3,8;12,2;--;;;;;;;;;
2015;Amazonas;Urbana;Municipal;89,3;84,6;--;7,8;3,3;--;2,9;12,1;--;;;;;;;;;
2015;Amazonas;Urbana;Particular;97,6;92,6;--;2,1;6,9;--;0,3;0,5;--;;;;;;;;;
2015;Amazonas;Rural;Pública;84,4;84,2;--;9,0;4,8;--;6,6;11,0;--;;;;;;;;;
2015;Amazonas;Rural;Estadual;88,7;84,2;--;6,2;4,8;--;5,1;11,0;--;;;;;;;;;
2015;Amazonas;Rural;Municipal;84,0;--;--;9,3;--;--;6,7;--;--;;;;;;;;;
2015;Amazonas;Rural;Particular;89,8;91,9;--;10,2;7,5;--;0,0;0,6;--;;;;;;;;;
2015;Roraima;Urbana;Pública;88,7;79,1;84,7;8,6;11,1;12,5;2,7;9,8;2,8;;;;;;;;;
2015;Roraima;Urbana;Federal;96,0;87,4;84,7;4,0;11,6;12,5;0,0;1,0;2,8;;;;;;;;;
2015;Roraima;Urbana;Estadual;83,4;78,7;--;11,7;11,1;--;4,9;10,2;--;;;;;;;;;
2015;Roraima;Urbana;Municipal;93,4;--;--;5,9;--;--;0,7;--;--;;;;;;;;;
2015;Roraima;Urbana;Particular;97,7;96,0;--;2,1;3,9;--;0,2;0,1;--;;;;;;;;;
2015;Roraima;Rural;Pública;87,3;83,8;97,4;8,4;5,8;2,3;4,3;10,4;0,3;;;;;;;;;
2015;Roraima;Rural;Federal;--;93,0;97,4;--;6,6;2,3;--;0,4;0,3;;;;;;;;;
2015;Roraima;Rural;Estadual;86,4;82,6;--;8,5;5,7;--;5,1;11,7;--;;;;;;;;;
2015;Roraima;Rural;Municipal;88,8;88,2;--;8,3;5,9;--;2,9;5,9;--;;;;;;;;;
2015;Roraima;Rural;Particular;--;96,3;--;--;0,0;--;--;3,7;--;;;;;;;;;
2015;Pará;Urbana;Pública;83,3;70,4;81,5;12,4;11,1;1,8;4,3;18,5;16,7;;;;;;;;;
2015;Pará;Urbana;Federal;92,9;78,7;--;7,1;11,6;--;0,0;9,7;--;;;;;;;;;
2015;Pará;Urbana;Estadual;76,5;70,3;81,5;15,9;11,1;1,8;7,6;18,6;16,7;;;;;;;;;
2015;Pará;Urbana;Municipal;85,2;79,0;--;11,4;20,2;--;3,4;0,8;--;;;;;;;;;
2015;Pará;Urbana;Particular;97,1;95,1;65,8;2,6;3,7;0,0;0,3;1,2;34,2;;;;;;;;;
2015;Pará;Rural;Pública;80,4;71,3;80,4;14,0;9,4;14,0;5,6;19,3;5,6;;;;;;;;;
2015;Pará;Rural;Federal;--;78,6;78,6;--;17,0;17,0;--;4,4;4,4;;;;;;;;;
2015;Pará;Rural;Estadual;78,7;71,2;89,4;13,2;9,3;0,0;8,1;19,5;10,6;;;;;;;;;
2015;Pará;Rural;Municipal;80,5;100,0;--;14,0;0,0;--;5,5;0,0;--;;;;;;;;;
2015;Pará;Rural;Particular;85,5;82,8;--;13,1;2,8;--;1,4;14,4;--;;;;;;;;;
2015;Amapá;Urbana;Pública;84,9;73,6;--;12,3;15,3;--;2,8;11,1;--;;;;;;;;;
2015;Amapá;Urbana;Federal;--;87,8;--;--;11,1;--;--;1,1;--;;;;;;;;;
2015;Amapá;Urbana;Estadual;82,2;73,1;--;14,4;15,4;--;3,4;11,5;--;;;;;;;;;
2015;Amapá;Urbana;Municipal;88,6;--;--;9,3;--;--;2,1;--;--;;;;;;;;;
2015;Amapá;Urbana;Particular;98,9;97,7;--;1,0;2,2;--;0,1;0,1;--;;;;;;;;;
2015;Amapá;Rural;Pública;83,1;74,8;--;12,9;9,4;--;4,0;15,8;--;;;;;;;;;
2015;Amapá;Rural;Estadual;82,3;74,8;--;13,2;9,4;--;4,5;15,8;--;;;;;;;;;
2015;Amapá;Rural;Municipal;84,8;--;--;12,1;--;--;3,1;--;--;;;;;;;;;
2015;Amapá;Rural;Particular;88,5;92,4;92,5;4,6;1,1;1,5;6,9;6,5;6,0;;;;;;;;;
2015;Tocantins;Urbana;Pública;88,9;79,6;91,8;9,6;12,3;1,6;1,5;8,1;6,6;;;;;;;;;
2015;Tocantins;Urbana;Federal;--;86,6;--;--;11,0;--;--;2,4;--;;;;;;;;;
2015;Tocantins;Urbana;Estadual;83,6;79,4;91,8;13,9;12,4;1,6;2,5;8,2;6,6;;;;;;;;;
2015;Tocantins;Urbana;Municipal;93,3;--;--;6,0;--;--;0,7;--;--;;;;;;;;;
2015;Tocantins;Urbana;Particular;96,9;90,6;--;2,7;8,4;--;0,4;1,0;--;;;;;;;;;
2015;Tocantins;Rural;Pública;87,9;83,9;74,4;8,6;7,6;12,8;3,5;8,5;12,8;;;;;;;;;
2015;Tocantins;Rural;Federal;--;86,2;--;--;11,6;--;--;2,2;--;;;;;;;;;
2015;Tocantins;Rural;Estadual;81,7;83,2;74,4;9,9;6,7;12,8;8,4;10,1;12,8;;;;;;;;;
2015;Tocantins;Rural;Municipal;90,2;91,7;--;8,2;5,6;--;1,6;2,7;--;;;;;;;;;
2015;Tocantins;Rural;Particular;95,3;94,7;--;4,7;5,3;--;0,0;0,0;--;;;;;;;;;
2015;Maranhão;Urbana;Pública;87,8;79,6;89,8;9,1;11,9;5,4;3,1;8,5;4,8;;;;;;;;;
2015;Maranhão;Urbana;Federal;96,5;91,0;94,9;3,1;6,3;3,8;0,4;2,7;1,3;;;;;;;;;
2015;Maranhão;Urbana;Estadual;86,4;79,3;59,0;11,5;12,1;15,2;2,1;8,6;25,8;;;;;;;;;
2015;Maranhão;Urbana;Municipal;87,8;84,7;--;9,0;3,3;--;3,2;12,0;--;;;;;;;;;
2015;Maranhão;Urbana;Particular;97,0;94,3;--;2,5;4,8;--;0,5;0,9;--;;;;;;;;;
2015;Maranhão;Rural;Pública;88,1;80,1;77,6;8,5;10,0;1,2;3,4;9,9;21,2;;;;;;;;;
2015;Maranhão;Rural;Federal;94,1;87,5;--;5,9;9,2;--;0,0;3,3;--;;;;;;;;;
2015;Maranhão;Rural;Estadual;76,5;79,7;77,0;11,1;10,1;1,6;12,4;10,2;21,4;;;;;;;;;
2015;Maranhão;Rural;Municipal;88,6;83,1;79,2;8,4;4,6;0,0;3,0;12,3;20,8;;;;;;;;;
2015;Maranhão;Rural;Particular;96,0;88,2;88,9;3,2;3,8;11,1;0,8;8,0;0,0;;;;;;;;;
2015;Piauí;Urbana;Pública;85,0;78,9;95,5;12,1;8,2;0,0;2,9;12,9;4,5;;;;;;;;;
2015;Piauí;Urbana;Federal;--;79,1;--;--;13,6;--;--;7,3;--;;;;;;;;;
2015;Piauí;Urbana;Estadual;81,4;78,9;95,5;13,9;8,0;0,0;4,7;13,1;4,5;;;;;;;;;
2015;Piauí;Urbana;Municipal;85,8;81,4;--;11,7;16,7;--;2,5;1,9;--;;;;;;;;;
2015;Piauí;Urbana;Particular;95,8;93,5;100,0;4,0;6,0;0,0;0,2;0,5;0,0;;;;;;;;;
2015;Piauí;Rural;Pública;84,9;75,8;--;12,2;5,7;--;2,9;18,5;--;;;;;;;;;
2015;Piauí;Rural;Federal;--;77,4;--;--;15,9;--;--;6,7;--;;;;;;;;;
2015;Piauí;Rural;Estadual;74,2;75,7;--;15,5;5,3;--;10,3;19,0;--;;;;;;;;;
2015;Piauí;Rural;Municipal;85,0;--;--;12,2;--;--;2,8;--;--;;;;;;;;;
2015;Piauí;Rural;Particular;92,1;95,6;--;5,8;4,4;--;2,1;0,0;--;;;;;;;;;
2015;Ceará;Urbana;Pública;91,6;84,3;76,2;6,3;7,6;17,9;2,1;8,1;5,9;;;;;;;;;
2015;Ceará;Urbana;Federal;94,8;79,0;76,2;5,2;15,6;17,9;0,0;5,4;5,9;;;;;;;;;
2015;Ceará;Urbana;Estadual;84,3;84,4;--;10,0;7,5;--;5,7;8,1;--;;;;;;;;;
2015;Ceará;Urbana;Municipal;92,1;--;--;6,1;--;--;1,8;--;--;;;;;;;;;
2015;Ceará;Urbana;Particular;97,0;95,5;85,2;2,7;4,1;0,0;0,3;0,4;14,8;;;;;;;;;
2015;Ceará;Rural;Pública;94,5;85,4;67,2;4,3;6,3;19,0;1,2;8,3;13,8;;;;;;;;;
2015;Ceará;Rural;Federal;--;80,7;67,2;--;10,8;19,0;--;8,5;13,8;;;;;;;;;
2015;Ceará;Rural;Estadual;87,0;85,5;--;8,3;6,2;--;4,7;8,3;--;;;;;;;;;
2015;Ceará;Rural;Municipal;94,6;--;--;4,3;--;--;1,1;--;--;;;;;;;;;
2015;Ceará;Rural;Particular;96,6;97,8;--;3,4;0,0;--;0,0;2,2;--;;;;;;;;;
2015;Rio Grande do Norte;Urbana;Pública;79,4;70,6;67,5;16,2;16,9;7,8;4,4;12,5;24,7;;;;;;;;;
2015;Rio Grande do Norte;Urbana;Federal;99,1;85,8;--;0,9;13,0;--;0,0;1,2;--;;;;;;;;;
2015;Rio Grande do Norte;Urbana;Estadual;75,9;69,3;67,5;19,2;17,2;7,8;4,9;13,5;24,7;;;;;;;;;
2015;Rio Grande do Norte;Urbana;Municipal;81,3;--;--;14,6;--;--;4,1;--;--;;;;;;;;;
2015;Rio Grande do Norte;Urbana;Particular;96,3;92,4;--;3,3;7,2;--;0,4;0,4;--;;;;;;;;;
2015;Rio Grande do Norte;Rural;Pública;82,6;82,3;--;13,9;8,3;--;3,5;9,4;--;;;;;;;;;
2015;Rio Grande do Norte;Rural;Federal;--;96,0;--;--;2,5;--;--;1,5;--;;;;;;;;;
2015;Rio Grande do Norte;Rural;Estadual;77,9;76,6;--;17,6;10,7;--;4,5;12,7;--;;;;;;;;;
2015;Rio Grande do Norte;Rural;Municipal;82,9;--;--;13,6;--;--;3,5;--;--;;;;;;;;;
2015;Rio Grande do Norte;Rural;Particular;94,9;97,3;--;5,1;2,7;--;0,0;0,0;--;;;;;;;;;
2015;Paraíba;Urbana;Pública;82,1;76,3;68,3;12,3;10,1;15,1;5,6;13,6;16,6;;;;;;;;;
2015;Paraíba;Urbana;Federal;100,0;84,7;--;0,0;12,1;--;0,0;3,2;--;;;;;;;;;
2015;Paraíba;Urbana;Estadual;79,5;76,0;66,5;12,9;10,1;16,7;7,6;13,9;16,8;;;;;;;;;
2015;Paraíba;Urbana;Municipal;83,2;74,6;75,0;12,1;7,3;8,9;4,7;18,1;16,1;;;;;;;;;
2015;Paraíba;Urbana;Particular;96,8;93,9;98,6;2,8;5,2;1,4;0,4;0,9;0,0;;;;;;;;;
2015;Paraíba;Rural;Pública;85,3;81,4;--;10,9;6,0;--;3,8;12,6;--;;;;;;;;;
2015;Paraíba;Rural;Federal;--;--;--;--;--;--;--;--;--;;;;;;;;;
2015;Paraíba;Rural;Estadual;79,6;81,4;--;12,7;6,0;--;7,7;12,6;--;;;;;;;;;
2015;Paraíba;Rural;Municipal;86,1;--;--;10,6;--;--;3,3;--;--;;;;;;;;;
2015;Paraíba;Rural;Particular;95,1;--;--;4,0;--;--;0,9;--;--;;;;;;;;;
2015;Pernambuco;Urbana;Pública;84,6;88,1;82,2;12,6;9,6;10,6;2,8;2,3;7,2;;;;;;;;;
2015;Pernambuco;Urbana;Federal;96,0;83,2;74,5;4,0;14,6;21,2;0,0;2,2;4,3;;;;;;;;;
2015;Pernambuco;Urbana;Estadual;86,3;88,2;86,8;12,3;9,5;4,3;1,4;2,3;8,9;;;;;;;;;
2015;Pernambuco;Urbana;Municipal;84,1;67,9;--;12,7;6,6;--;3,2;25,5;--;;;;;;;;;
2015;Pernambuco;Urbana;Particular;96,5;94,7;92,1;3,1;4,6;7,5;0,4;0,7;0,4;;;;;;;;;
2015;Pernambuco;Rural;Pública;86,4;86,4;100,0;11,1;8,9;0,0;2,5;4,7;0,0;;;;;;;;;
2015;Pernambuco;Rural;Federal;--;80,5;--;--;16,7;--;--;2,8;--;;;;;;;;;
2015;Pernambuco;Rural;Estadual;82,8;87,1;100,0;14,5;8,2;0,0;2,7;4,7;0,0;;;;;;;;;
2015;Pernambuco;Rural;Municipal;86,7;79,5;--;10,9;13,1;--;2,4;7,4;--;;;;;;;;;
2015;Pernambuco;Rural;Particular;92,4;95,9;--;7,0;2,7;--;0,6;1,4;--;;;;;;;;;
2015;Alagoas;Urbana;Pública;79,2;71,2;15,0;14,0;12,7;85,0;6,8;16,1;0,0;;;;;;;;;
2015;Alagoas;Urbana;Federal;--;73,2;15,0;--;21,8;85,0;--;5,0;0,0;;;;;;;;;
2015;Alagoas;Urbana;Estadual;72,2;71,0;--;17,4;12,2;--;10,4;16,8;--;;;;;;;;;
2015;Alagoas;Urbana;Municipal;80,7;84,2;--;13,3;0,0;--;6,0;15,8;--;;;;;;;;;
2015;Alagoas;Urbana;Particular;96,5;94,5;88,9;2,9;4,5;0,0;0,6;1,0;11,1;;;;;;;;;
2015;Alagoas;Rural;Pública;84,3;79,4;--;12,0;6,7;--;3,7;13,9;--;;;;;;;;;
2015;Alagoas;Rural;Estadual;80,5;79,4;--;14,4;6,7;--;5,1;13,9;--;;;;;;;;;
2015;Alagoas;Rural;Municipal;84,4;--;--;11,9;--;--;3,7;--;--;;;;;;;;;
2015;Alagoas;Rural;Particular;97,5;--;--;1,0;--;--;1,5;--;--;;;;;;;;;
2015;Sergipe;Urbana;Pública;73,3;66,5;59,0;20,9;17,2;0,0;5,8;16,3;41,0;;;;;;;;;
2015;Sergipe;Urbana;Federal;--;81,5;--;--;10,9;--;--;7,6;--;;;;;;;;;
2015;Sergipe;Urbana;Estadual;70,6;66,4;59,0;22,7;17,2;0,0;6,7;16,4;41,0;;;;;;;;;
2015;Sergipe;Urbana;Municipal;75,1;--;--;19,7;--;--;5,2;--;--;;;;;;;;;
2015;Sergipe;Urbana;Particular;96,0;92,1;91,2;3,7;7,4;8,8;0,3;0,5;0,0;;;;;;;;;
2015;Sergipe;Rural;Pública;78,5;71,7;--;17,1;11,7;--;4,4;16,6;--;;;;;;;;;
2015;Sergipe;Rural;Federal;--;0,0;--;--;0,0;--;--;100,0;--;;;;;;;;;
2015;Sergipe;Rural;Estadual;71,6;71,8;--;22,4;11,7;--;6,0;16,5;--;;;;;;;;;
2015;Sergipe;Rural;Municipal;78,9;--;--;16,9;--;--;4,2;--;--;;;;;;;;;
2015;Sergipe;Rural;Particular;93,7;--;--;6,0;--;--;0,3;--;--;;;;;;;;;
2015;Bahia;Urbana;Pública;78,9;74,0;93,5;16,3;17,8;1,6;4,8;8,2;4,9;;;;;;;;;
2015;Bahia;Urbana;Federal;96,1;77,0;--;3,9;18,7;--;0,0;4,3;--;;;;;;;;;
2015;Bahia;Urbana;Estadual;69,0;74,0;93,5;25,9;17,8;1,6;5,1;8,2;4,9;;;;;;;;;
2015;Bahia;Urbana;Municipal;81,0;77,3;--;14,4;10,9;--;4,6;11,8;--;;;;;;;;;
2015;Bahia;Urbana;Particular;95,9;93,2;100,0;3,8;6,3;0,0;0,3;0,5;0,0;;;;;;;;;
2015;Bahia;Rural;Pública;81,7;81,4;--;14,0;10,3;--;4,3;8,3;--;;;;;;;;;
2015;Bahia;Rural;Federal;--;90,3;--;--;5,2;--;--;4,5;--;;;;;;;;;
2015;Bahia;Rural;Estadual;72,9;81,0;--;20,9;11,1;--;6,2;7,9;--;;;;;;;;;
